BATCH_ID,PRODUCTION_DATE,TEMPERATURE,DEFECT_COUNT,QUALITY_SCORE,HUMIDITY,MACHINE_RUNTIME,PRESSURE_BAR,OPERATOR_ID,MACHINE_ID
BATCH_7386,2024-06-11,200.0521522861548,45,87.0,77.4,28,6.46039012,015,08
BATCH_2371,2024-06-04,185.72757919105223,35,89.0,50.2,48,8.9804249,004,06
BATCH_3277,2024-04-27,240.77109338648944,3,98.0,61.0,60,6.227347232,011,07
BATCH_8270,2024-03-13,238.91651077137212,17,97.0,67.7,39,9.79,011,08
BATCH_7488,2024-05-21,182.51353526376727,38,92.0,76.4,19,6.269405268,019,03
BATCH_2479,2024-05-18,236.5279708313274,34,80.0,60.0,20,8.59,013,06
BATCH_3329,2024-06-05,180.3553572354525,25,92.0,57.2,32,3.3549902159999996,020,03
BATCH_9368,2024-02-28,221.8598778279044,32,83.0,59.6,70,1.07902994,010,01
BATCH_8976,2024-01-28,221.1970138746404,2,84.0,48.2,45,3.1529737479999995,008,05
BATCH_3975,2024-05-21,159.14303525178397,50,83.0,36.5,38,6.651374971999999,001,04
BATCH_2612,2024-05-06,172.23567907532413,10,81.0,71.8,55,5.52959752,018,10
BATCH_9380,2024-03-22,173.7399850358958,44,82.0,71.2,6,6.6720592519999995,003,09
BATCH_7131,2024-05-27,194.77771744774952,40,94.0,40.8,18,3.066099772,005,05
BATCH_6868,2024-06-13,214.1346878790964,48,90.0,77.0,27,2.2,011,05
BATCH_5689,2024-06-26,213.9953873473524,40,95.0,31.9,67,5.954314736,003,05
BATCH_5510,2024-03-12,239.34540094546207,0,91.0,45.8,48,3.973450188,020,10
BATCH_3740,2024-06-01,187.16908362887384,25,93.0,63.3,34,10.155981480000001,009,01
BATCH_2495,2024-01-18,240.3615082543465,31,15.0,71.0,68,8.289569948,016,02
BATCH_8408,2024-02-10,155.0048380264432,49,45.0,36.0,30,3.21985292,012,03
BATCH_3031,2024-07-17,224.84877523580585,48,90.0,42.8,13,9.0,004,04
BATCH_9086,2024-05-20,171.5114257350562,2,9.0,34.0,35,7.51,012,07
BATCH_8905,2024-01-03,238.71034442683757,24,93.0,78.6,18,4.33,003,02
BATCH_7278,2024-07-06,233.99017990143733,16,91.0,44.9,9,9.08,006,03
BATCH_2023,2024-06-09,244.08590344050387,11,80.0,38.7,11,9.56,007,09
BATCH_1490,2024-04-22,244.31082119767177,18,100.0,61.0,70,5.308965199999999,011,04
BATCH_6543,2024-01-24,162.48170543458642,38,94.0,43.2,19,4.76772654,015,07
BATCH_6730,2024-04-06,240.27392717681016,40,89.0,51.3,62,5.7522982680000005,012,10
BATCH_7447,2024-07-07,179.65964922055673,46,91.0,31.5,30,7.71,003,04
BATCH_2753,2024-06-05,227.44434665505293,14,98.0,79.3,6,2.762040856,013,10
BATCH_7724,2024-02-14,176.347293056387,0,94.0,67.9,13,9.18,009,04
BATCH_3021,2024-03-22,239.2339824011684,7,82.0,69.4,31,9.032825076,007,06
BATCH_6464,2024-07-11,197.42227159721605,28,88.0,38.0,17,7.702136395999999,014,07
BATCH_7712,2024-01-05,158.48746263378814,24,85.0,34.0,61,4.72,003,03
BATCH_2856,2024-07-10,203.12041788651212,6,80.0,56.6,64,5.1538331,001,04
BATCH_1718,2024-02-14,182.76109424786503,8,80.0,61.7,10,3.0,011,03
BATCH_6814,2024-07-10,222.4418965957595,22,91.0,36.2,69,5.5778608400000005,001,05
BATCH_9965,2024-04-10,246.6612827083012,14,82.0,74.8,46,6.773412223999999,015,05
BATCH_2769,2024-03-26,152.29381946730064,29,77.0,76.2,25,7.98,018,06
BATCH_8014,2024-05-02,234.6077777065907,39,88.0,73.3,4,2.870978064,015,10
BATCH_9190,2024-03-08,215.21006326127295,11,88.0,76.5,29,5.464786776,016,03
BATCH_5851,2024-06-10,220.5108389198197,35,78.0,36.6,65,10.158049908,004,04
BATCH_4983,2025-01-27,190.84146855755984,47,88.0,70.0,10,6.21,020,03
BATCH_7930,2024-01-07,209.4162522594421,6,80.0,51.3,29,5.01,003,04
BATCH_9846,2024-05-12,229.50390183218627,22,81.0,65.6,30,6.43970584,006,08
BATCH_4696,2024-04-12,187.1842341021992,32,100.0,74.5,38,5.812972156,001,07
BATCH_7243,2024-01-28,190.58053021253448,37,81.0,39.5,27,1.43,019,03
BATCH_7423,2024-03-08,154.3042237939352,33,89.0,35.3,67,2.39,019,10
BATCH_2863,2024-03-23,169.72546065088994,11,98.0,77.4,50,1.810563976,013,06
BATCH_3536,2024-03-09,236.1597111954549,19,99.0,35.3,62,6.319047540000001,006,08
BATCH_9501,2024-02-16,194.521220803167,18,23.0,57.7,70,3.914155252,008,06
BATCH_8034,2024-01-06,167.09268233337363,50,90.0,72.5,46,6.675506631999999,014,10
BATCH_3493,2024-03-27,172.83921090068094,47,86.0,55.7,59,2.5200347799999996,004,10
BATCH_8395,2024-06-19,179.32306115643806,27,83.0,49.3,19,6.3038790680000005,003,03
BATCH_9209,2024-04-03,150.24043313371882,10,93.0,65.2,39,1.5016787280000001,010,09
BATCH_6748,2024-01-09,154.42695687191883,34,81.0,72.2,11,5.71,013,04
BATCH_4878,2024-03-30,176.91342340391313,13,96.0,46.9,39,2.37,001,01
BATCH_4036,2024-06-11,201.77793249460683,21,95.0,39.4,54,8.093758764,002,04
BATCH_7466,2024-01-14,1815.12259097756,2,82.0,48.2,36,8.857698172,009,09
BATCH_8392,2024-06-06,169.1495418160907,20,85.0,50.7,39,3.83,003,04
BATCH_4311,2024-04-24,212.3468704437221,25,86.0,45.7,23,9.74919064,009,01
BATCH_9948,2024-02-19,166.35314506518156,33,38.0,54.2,39,5.04,018,05
BATCH_9074,2024-02-17,208.003297151706,28,84.0,68.2,31,9.160378136,016,01
BATCH_3924,2024-06-05,190.27077487309293,11,99.0,60.2,33,3.08,018,09
BATCH_5205,2024-01-15,201.2423096928009,16,81.0,38.9,48,9.7,019,04
BATCH_2593,2024-02-24,245.19227091972323,23,97.0,32.2,33,2.6820616399999997,020,02
BATCH_6846,2025-02-03,175.56786740601964,0,81.0,61.5,50,8.171669552,012,05
BATCH_6214,2024-03-18,164.38096568042002,42,93.0,58.1,42,2.508313688,009,04
BATCH_4605,2024-05-05,172.00242183859618,50,84.0,50.4,14,5.73,008,01
BATCH_4989,2024-01-03,1945.6316352861627,45,83.0,74.9,37,5.144180436,001,10
BATCH_2483,2024-07-15,221.99617046202607,32,91.0,68.5,28,4.74359488,020,07
BATCH_2522,2024-04-20,156.21820557522898,7,98.0,55.8,37,6.43,003,01
BATCH_7671,2024-02-04,232.83341491850751,2,84.0,49.2,14,2.8,008,04
BATCH_7041,2024-07-03,234.2512742449332,20,96.0,58.8,25,8.624655284,001,02
BATCH_2118,2024-02-19,151.55120557541474,40,86.0,70.3,16,3.320516416,009,09
BATCH_7663,2024-01-23,171.74612806037982,18,90.0,60.2,46,1.86,020,01
BATCH_7734,2024-06-24,199.8135243498758,26,93.0,40.8,16,3.43,007,02
BATCH_4419,2024-05-01,157.59634188959453,32,100.0,47.0,19,6.964397076,012,10
BATCH_5391,2024-05-07,187.42152647672916,40,89.0,78.0,10,3.703175596,015,09
BATCH_5516,2024-05-30,174.9470915554745,8,94.0,51.1,49,9.643700812,013,03
BATCH_4641,2024-06-13,172.4608670038112,43,100.0,62.4,43,9.55,012,07
BATCH_5745,2024-01-09,211.20251355432111,39,84.0,71.6,53,8.06,016,03
BATCH_1535,2024-03-02,193.37630814601036,41,90.0,32.3,66,8.126853612,015,10
BATCH_4545,2024-02-26,241.53150235863245,26,90.0,64.9,65,1.0797194159999999,008,09
BATCH_8135,2024-07-05,176.842973972515,3,100.0,53.3,9,5.67,008,03
BATCH_3539,2024-04-29,186.2857135716949,39,86.0,65.1,42,2.3373236399999997,005,10
BATCH_7189,2024-06-30,213.3251220257506,15,67.0,62.2,63,5.53,007,09
BATCH_1783,2024-03-03,155.00507785193366,33,81.0,44.5,42,1.46,016,03
BATCH_2446,2024-01-29,190.7550397304947,47,97.0,62.6,62,3.05,009,06
BATCH_3809,2024-04-25,176.0527461247722,23,96.0,64.4,34,2.921999288,009,04
BATCH_1467,2024-06-22,186.6115460305469,46,99.0,52.7,27,9.614742819999998,008,09
BATCH_7961,2024-06-22,205.18322135102545,0,81.0,53.3,57,2.941994092,002,08
BATCH_6352,2024-02-07,218.1773974558805,14,91.0,62.4,52,3.93,001,07
BATCH_8198,2024-07-17,163.81755781728788,39,91.0,76.2,5,2.89,008,02
BATCH_6517,2024-04-18,213.3167135373179,24,82.0,64.3,42,8.541228687999999,015,02
BATCH_7473,2024-03-09,171.97178654534432,4,98.0,71.5,39,3.98,009,01
BATCH_9210,2024-06-03,2111.737409209299,37,88.0,45.1,62,2.955783612,015,01
BATCH_1055,2024-02-09,167.4710419673419,10,98.0,61.5,50,10.311803056,008,02
BATCH_6999,2024-05-09,161.7749684966033,0,92.0,73.8,20,4.112034864,018,10
BATCH_3517,2024-06-12,184.2830420535804,30,88.0,35.0,39,8.24268558,004,07
BATCH_9638,2024-05-30,176.15849754636503,1,99.0,32.9,40,8.91,020,08
BATCH_8203,2024-03-15,177.0582558684368,21,81.0,60.7,11,8.67,015,10
BATCH_1292,2024-02-26,201.70334425531232,10,44.0,35.7,42,2.7951357039999998,018,02
BATCH_1128,2024-01-18,206.0669856146492,10,97.0,61.1,31,4.35059356,017,07
BATCH_1677,2024-03-05,224.3547421291419,9,92.0,77.1,63,8.799782188,017,02
BATCH_1442,2024-04-16,215.5494328488626,43,90.0,80.0,63,2.97,013,03
BATCH_9699,2024-04-14,216.4185316266276,42,83.0,68.7,26,9.06,011,09
BATCH_2422,2024-02-08,163.10302343771045,11,81.0,56.4,41,3.998271324,009,08
BATCH_7099,2024-01-13,218.5978531922424,0,89.0,41.2,23,1.832627208,019,07
BATCH_9351,2024-04-01,188.94284958889665,41,85.0,31.3,6,5.8846776599999995,010,07
BATCH_8177,2024-02-04,192.93113651976333,7,99.0,30.6,71,8.47,020,09
BATCH_2334,2024-03-15,157.28442677715532,41,93.0,58.8,45,3.310863752,016,10
BATCH_1880,2024-01-06,236.91503964867945,13,31.0,59.1,71,8.97,010,06
BATCH_4088,2024-02-22,184.8811699795615,41,80.0,32.6,42,1.628542312,011,05
BATCH_1428,2024-05-06,170.8138791303427,24,97.0,54.9,20,2.3938606719999997,020,06
BATCH_6454,2024-01-10,194.7861876952936,23,13.0,69.1,36,8.19,019,09
BATCH_2063,2024-02-07,183.96652262673908,0,84.0,53.9,37,8.813571708,012,06
BATCH_9673,2024-04-02,228.3618216832666,13,85.0,74.3,36,2.57,014,02
BATCH_4107,2024-04-23,178.18086092245153,43,94.0,50.5,43,8.613623668,009,01
BATCH_6663,2024-06-27,211.76569288514816,24,97.0,34.6,41,2.8034094159999996,012,07
BATCH_5197,2024-06-11,205.6319255258084,4,82.0,39.4,4,3.98,007,09
BATCH_3181,2024-06-06,152.8185704609152,10,91.0,35.8,65,2.2235601,001,10
BATCH_3494,2024-02-16,184.4791008422221,24,100.0,61.7,7,6.63,019,09
BATCH_2000,2024-05-13,2440.992617825182,24,100.0,77.1,25,9.64,009,01
BATCH_7530,2024-06-15,198.5554589218528,17,81.0,53.4,35,2.920620336,004,04
BATCH_6738,2024-03-03,218.737097461988,3,83.0,71.5,13,1.571315804,009,08
BATCH_6560,2024-05-12,168.70958502165158,9,32.0,69.0,22,9.036272456,012,03
BATCH_6406,2024-03-12,150.21144481121743,44,77.0,55.2,4,3.47,010,03
BATCH_9235,2024-03-25,176.77891639665847,8,89.0,58.2,8,3.7,016,03
BATCH_5200,2024-03-18,208.74108252300607,2,98.0,75.4,24,1.49,005,07
BATCH_1600,2025-02-16,234.3186302430109,1,97.0,71.8,71,4.980085148,011,09
BATCH_7921,2024-01-30,246.4973124772763,36,91.0,35.0,24,8.293706804000001,012,07
BATCH_3547,2024-06-19,150.56154215160112,42,91.0,31.9,26,7.78,007,08
BATCH_2552,2024-04-19,197.16590332904929,12,98.0,31.0,44,3.02,004,01
BATCH_5059,2024-04-27,238.88073749338824,14,88.0,72.0,5,8.7563452,005,10
BATCH_7671,2024-06-16,151.73859962947807,44,85.0,55.9,7,1.87,011,03
BATCH_7690,2024-03-14,211.75186849847665,37,80.0,67.1,70,1.71,011,05
BATCH_3646,2024-04-18,210.19845397105823,50,93.0,44.7,58,1.301730688,002,08
BATCH_1604,2024-03-31,162.38999093260645,38,68.0,42.4,15,9.8077961,013,04
BATCH_7309,2024-03-11,246.9674601226796,48,85.0,50.0,34,8.83,006,10
BATCH_7733,2024-02-19,233.78533168509688,18,82.0,48.4,63,6.723080476,003,01
BATCH_4771,2024-03-17,183.7064092256998,44,95.0,42.0,50,5.92,004,02
BATCH_4886,2024-04-06,216.98491722445252,40,86.0,36.7,51,1.787811268,008,09
BATCH_7940,2024-01-08,160.1807155154753,17,84.0,79.6,31,5.505465859999999,015,04
BATCH_7719,2024-01-25,200.33327610403455,4,15.0,70.3,8,2.81650946,009,10
BATCH_2197,2024-06-07,221.82692086857972,6,90.0,38.2,23,1.83,003,02
BATCH_9913,2024-04-16,151.0814832974168,3,19.0,43.4,46,2.791688324,014,03
BATCH_2332,2024-04-18,248.54867092164253,22,5.0,78.2,37,9.349294559999999,013,07
BATCH_5768,2024-03-02,230.0100482916368,20,81.0,78.5,12,1.8519325359999999,009,09
BATCH_7624,2024-03-12,172.67459925037068,13,89.0,64.5,4,6.08807308,003,07
BATCH_6993,2024-05-23,161.2444185852591,46,89.0,61.9,29,3.124015756,008,04
BATCH_1160,2024-04-06,168.4675123637,16,82.0,40.4,61,2.5510612,007,05
BATCH_4441,2024-01-31,193.4629363748201,35,80.0,65.6,71,1.445141696,012,10
BATCH_9714,2024-06-20,186.7175916676846,14,96.0,38.9,70,1.03,001,09
BATCH_6330,2024-04-20,192.87903656486955,5,84.0,37.2,58,4.738768548,015,01
BATCH_6655,2024-06-04,157.16534261320248,0,100.0,51.1,70,4.5974259680000005,018,08
BATCH_6803,2024-01-26,183.20813313713973,29,88.0,42.3,42,4.68,007,10
BATCH_2634,2024-01-12,240.9381656250187,21,94.0,78.2,12,1.51,002,01
BATCH_5673,2024-05-31,227.5111387244113,23,91.0,33.9,61,7.900016008,002,05
BATCH_3429,2024-07-11,170.47587769023605,4,95.0,62.3,42,2.74,020,07
BATCH_1469,2024-06-21,153.03006125539295,32,84.0,52.6,59,2.61,017,06
BATCH_7355,2024-07-07,209.2042772580512,39,90.0,43.7,30,3.48874856,019,10
BATCH_3333,2024-01-19,1556.8112156449868,1,6.0,71.5,37,3.4659958520000003,003,08
BATCH_9980,2024-02-21,189.2869243182312,10,94.0,64.1,40,9.99,004,06
BATCH_4872,2024-04-07,197.7407813524682,0,84.0,39.0,72,8.91,020,08
BATCH_2433,2024-06-23,168.36971640536223,0,82.0,61.9,48,3.41,016,01
BATCH_4672,2024-07-15,234.55293651603648,3,95.0,67.0,32,1.6368160239999998,004,04
BATCH_5624,2024-04-26,229.3238477012107,37,98.0,76.6,32,4.737389595999999,017,04
BATCH_3385,2024-06-22,160.2196471852144,26,99.0,52.2,9,9.099014772,017,06
BATCH_8758,2024-04-29,184.94732658763095,16,93.0,30.3,7,5.06,007,03
BATCH_9084,2024-04-17,225.0537644556539,41,98.0,50.0,39,4.722221124,011,04
BATCH_1876,2024-06-02,236.3016045767416,9,92.0,73.9,50,4.100313772,005,01
BATCH_5972,2024-03-22,209.3194497683264,27,80.0,68.5,8,7.7593629040000005,017,02
