batch_id,production_date,temperature,pressure,pressure_unit,machine_id,defect_count,operator_id,quality_score,humidity,machine_runtime
BATCH_6414,2024-07-07,198.14459645486716,22.37,psi,MCH_05,26,OP_012,100.0,77.2,69
BATCH_9685,2024-02-13,203.63732579260375,4.22,bar,MCH_08,28,OP_015,85.0,67.8,8
BATCH_6511,2024-04-07,176.39535611349942,122.86,psi,MCH_01,30,OP_005,96.0,60.8,56
BATCH_7159,2024-02-07,206.08163223609668,9.6,bar,MCH_03,0,OP_004,97.0,35.8,48
BATCH_6263,2024-04-06,165.68090406912683,132.72,psi,MCH_05,46,OP_008,95.0,39.0,53
BATCH_9531,2024-05-01,206.08365332773337,16.19,psi,MCH_09,4,OP_001,91.0,30.3,54
BATCH_6230,2024-05-01,248.8688233252657,73.32,psi,MCH_05,20,OP_012,99.0,60.9,62
BATCH_5578,2024-01-20,242.89379691241226,7.82,bar,MCH_01,2,OP_019,100.0,70.3,46
BATCH_3576,2024-05-06,202.32831706007676,69.97,psi,MCH_02,31,OP_012,82.0,50.5,39
BATCH_7492,2024-01-28,242.78321302864822,2.32,bar,MCH_03,40,OP_003,83.0,46.4,60
BATCH_7975,2024-05-31,,38.26,psi,MCH_08,36,OP_005,80.0,34.7,71
BATCH_5488,2024-07-15,195.0306005191612,5.76,bar,MCH_07,25,OP_001,97.0,63.5,58
BATCH_5201,2024-01-01,235.8780792683006,61.59,psi,MCH_08,3,OP_018,96.0,50.9,10
BATCH_8409,2024-01-24,230.1340835665099,5.85,bar,MCH_09,24,OP_005,91.0,66.0,8
BATCH_3797,2024-07-10,221.84123460185884,86.17,psi,MCH_04,20,OP_015,96.0,52.7,30
BATCH_5271,2024-03-14,1868.9248351709084,4.28,bar,MACHINE09,8,OP_019,93.0,73.5,25
BATCH_7463,2024-06-15,224.130569152911,119.94,psi,MCH_05,0,OP_002,88.0,60.9,25
BATCH_8970,2024-01-18,200.9051287303427,4.05,bar,MCH_04,39,OP_018,92.0,37.6,41
BATCH_5724,2024-04-07,233.38034141715522,87.59,psi,MCH_08,36,OP_007,96.0,35.7,45
BATCH_9685,2024-06-27,223.2725744652643,50.41,psi,MCH_10,13,OP_002,98.0,51.3,45
BATCH_6174,2024-04-06,190.6927166229759,129.19,psi,MCH_02,29,OP_018,81.0,56.4,21
BATCH_3192,2024-04-29,242.9983423407222,8.22,bar,MCH_05,28,OP_020,99.0,42.0,22
BATCH_8697,2024-01-13,,4.16,bar,MCH_03,8,OP_008,98.0,69.1,4
BATCH_4853,2024-02-06,180.8156668612147,2.32,bar,MCH_05,30,OP_016,93.0,50.5,50
BATCH_1234,2024-06-25,177.97097581404725,47.18,psi,MCH_05,26,OP_012,99.0,32.1,49
BATCH_5077,2024-03-04,239.17146532936516,8.11,bar,MCH_09,40,OP_006,89.0,56.6,28
BATCH_6461,2024-01-23,184.97796092686522,78.87,psi,MCH_07,1,OP_010,82.0,68.1,28
BATCH_1790,2024-03-10,150.46896408819936,5.43,bar,MCH_09,28,OP_010,81.0,57.9,21
BATCH_7406,2024-01-14,197.5474769259823,76.64,psi,MCH_06,9,OP_018,89.0,39.2,6
BATCH_2495,2024-05-06,216.7908276240713,6.32,bar,MCH_05,36,OP_008,82.0,71.6,27
BATCH_5052,2024-01-30,197.38861709949649,72.62,psi,MCH_03,41,OP_006,89.0,56.6,33
,2024-03-09,194.4303045657722,52.0,psi,MCH_03,41,OP_001,80.0,37.1,60
BATCH_6932,2024-03-27,214.75876635564745,1.48,bar,MCH_06,50,OP_009,93.0,34.8,55
BATCH_2472,2024-05-30,188.85820492344888,6.36,bar,MCH_02,49,OP_003,88.0,51.4,38
BATCH_2159,2024-01-23,163.62942025649724,16.2,psi,MACHINE09,1,OP_004,0.06,50.8,30
BATCH_4681,2024-04-24,160.63015294811487,7.73,bar,MCH_08,7,OP_003,92.0,53.6,39
BATCH_9589,2024-06-29,153.18168826451452,7.98,bar,MCH_06,32,OP_003,84.0,38.0,68
BATCH_2842,2024-05-31,175.18272591439148,59.26,psi,MCH_01,32,OPER_020,83.0,57.5,5
BATCH_2014,2024-01-29,242.01430707126667,8.58,bar,MCH_06,9,OP_011,82.0,60.8,38
BATCH_9309,2024-03-21,159.4460337557889,124.13,psi,MCH_08,16,OP_017,80.0,37.3,40
BATCH_3550,2024-07-16,216.51861731227234,4.68,bar,MCH_08,22,OP_015#,96.0,74.8,18
BATCH_4495,2024-01-03,189.05778473256584,5.59,bar,MCH_10,50,OP_002,90.0,70.3,58
BATCH_9744,2024-05-05,212.60143781518445,2.72,bar,MCH_06,27,OP_001,92.0,46.6,6
BATCH_6807,2024-03-17,207.81984377501865,29.61,psi,MCH_08,32,OP_019,97.0,43.5,11
BATCH_9642,2024-01-25,175.68474121369817,6.39,bar,MCH_10,42,OP_019,85.0,45.0,8
BATCH_1287,2024-05-28,174.84970826883404,4.45,bar,MCH_09,0,OP_018,86.0,48.4,46
BATCH_7029,2024-05-15,163.81811653045085,43.56,psi,MCH_07,21,OPER_001,88.0,59.9,15
BATCH_6834,2024-06-28,243.98263202288072,1.74,bar,MCH_04,39,OP_019,0.66,63.1,55
BATCH_4956,2024-05-06,155.11381052427706,6.11,bar,MCH_06,3,OP_014,93.0,64.9,67
BATCH_2856,2024-01-28,171.83711558225139,122.84,psi,MCH_04,37,OP_005,87.0,57.8,11
BATCH_7897,2024-05-08,168.07635762809895,106.75,psi,MCH_06,38,OP_004,82.0,45.3,70
BATCH_6624,2024-06-15,244.336846140121,2.9,bar,MCH_02,28,OP_013,86.0,73.5,66
BATCH_4113,2024-05-27,223.79507613583502,5.2,bar,MCH_01,15,OP_004,98.0,75.6,68
BATCH_1099,2024-02-02,156.6754656506429,82.61,psi,MACHINE04,42,OP_014,0.87,55.5,14
BATCH_5033,2024-07-04,198.86505281482846,9.63,bar,MCH_10,50,OP_004,82.0,31.9,72
BATCH_6890,2024-03-29,248.30391610147794,5.67,bar,MCH_09,29,OP_005,94.0,72.5,31
BATCH_6652,2024-05-23,154.18897244593475,59.38,psi,MCH_06,30,OP_018,95.0,60.0,9
BATCH_3930,2024-02-11,228.4052858758597,7.44,bar,MCH_08,45,OPER_009,88.0,78.8,69
BATCH_9822,2024-03-24,233.60317807813436,89.89,psi,MCH_07,43,OP_019,92.0,64.9,5
BATCH_6345,2024-01-19,203.41424941525477,4.24,bar,MCH_03,1,OP_003,98.0,60.5,64
BATCH_6868,2024-01-28,189.16934963395957,145.44,psi,MCH_10,50,OP_016,89.0,31.9,60
BATCH_4426,2024-06-29,184.24058018975649,123.08,psi,MCH_08,9,OP_006,95.0,35.8,64
BATCH_7089,2024-03-19,204.8903786038243,125.07,psi,MACHINE06,50,OP_004,0.47,49.3,60
BATCH_8923,2024-03-01,217.67121182965047,86.96,psi,MCH_10,19,OP_003,95.0,31.8,11
BATCH_9359,2024-03-03,157.599059571942,8.76,bar,MCH_01,4,OP_018,84.0,43.6,31
BATCH_5928,2024-03-15,202.34856819425443,139.87,psi,MCH_09,28,OP_017,85.0,51.1,61
BATCH_9238,2024-05-21,,32.63,psi,MCH_02,11,OP_019,98.0,71.3,14
BATCH_1125,2024-03-09,190.7640950290719,138.66,psi,MCH_10,32,OP_015,96.0,70.1,52
BATCH_1354,2024-02-18,177.22119662887033,131.75,psi,MCH_01,13,OP_018,98.0,53.5,41
,2024-04-12,,4.32,bar,MCH_08,28,OP_007,100.0,56.0,35
BATCH_8815,2024-01-02,160.4489505724467,7.05,bar,MCH_07,42,OP_015,86.0,33.6,61
BATCH_3548,2025-01-07,175.47231444931268,88.3,psi,MCH_07,47,OP_005,82.0,44.1,17
BATCH_3995,2024-03-03,249.05349234402058,86.66,psi,MCH_01,28,OP_006,100.0,60.5,27
BATCH_7226,2024-03-24,210.67958566445623,55.35,psi,MCH_07,36,OP_011,86.0,46.0,70
BATCH_2269,2024-02-04,198.26498685782232,64.32,psi,MCH_04,47,OP_017,93.0,73.2,13
BATCH_9344,2024-07-12,204.40730195598633,103.62,psi,MACHINE06,10,OP_015,99.0,67.8,4
BATCH_2009,2024-01-19,207.15886975426218,140.23,psi,MCH_10,2,OPER_004,0.04,76.3,67
BATCH_1701,2024-05-07,190.73971081032815,5.01,bar,MCH_09,2,OP_002,92.0,35.2,10
BATCH_3401,2024-03-10,219.94315296559483,7.26,bar,MCH_08,3,OP_001,97.0,38.4,44
BATCH_2332,2024-06-22,247.0054298994583,2.93,bar,MCH_05,11,OP_009#,81.0,35.3,65
BATCH_3772,2024-01-26,176.19486300059523,8.97,bar,MCH_04,2,OP_006,80.0,68.1,48
BATCH_1311,2024-03-20,181.23455420865628,143.04,psi,MACHINE02,9,OP_016,93.0,54.1,67
BATCH_2975,2024-06-07,245.6163711270437,7.68,bar,MCH_10,24,OP_013,92.0,52.3,61
BATCH_6821,2024-06-11,229.35274538433103,8.74,bar,MCH_04,14,OP_013,85.0,54.4,55
,2024-02-05,247.13738498406013,136.7,psi,MCH_04,42,OP_020,98.0,54.1,54
BATCH_7406,2024-01-24,219.67415557854036,76.33,psi,MCH_10,42,OP_010,92.0,67.4,40
BATCH_6940,2024-03-19,206.08973223713434,5.95,bar,MCH_06,42,OP_010,91.0,64.1,58
BATCH_5616,2024-01-13,220.27189128084586,26.31,psi,MCH_10,8,OP_006,81.0,46.2,57
BATCH_3284,2024-01-21,209.13369913452215,6.37,bar,MCH_07,43,OP_004,88.0,76.5,51
BATCH_7979,2024-06-20,219.12485670639688,22.59,psi,MCH_08,1,OP_004,80.0,48.9,59
BATCH_7371,2024-03-24,210.10908338689444,4.11,bar,MCH_07,33,OP_019,83.0,35.4,10
BATCH_8755,2024-02-02,243.85166176180815,6.96,bar,MCH_10,2,OP_012,0.79,33.5,61
BATCH_3736,2024-07-07,160.71604135818828,62.08,psi,MCH_03,37,OP_012,96.0,62.4,42
BATCH_1641,2024-03-12,170.3735288723904,1.2,bar,MCH_07,43,OP_018,81.0,67.9,64
BATCH_3173,2024-03-08,164.77726927099673,71.0,psi,MCH_09,11,OP_007,95.0,72.1,34
BATCH_1516,2024-02-23,182.3480969559107,86.84,psi,MCH_10,40,OP_019,87.0,52.4,23
BATCH_1938,2024-04-05,223.69100010078608,21.68,psi,MCH_04,17,OP_013,83.0,79.0,63
BATCH_3480,2024-02-16,201.05433015233692,2.91,bar,MACHINE03,45,OP_012,93.0,45.6,41
BATCH_2938,2024-07-19,,1.86,bar,MCH_10,49,OP_010,97.0,61.2,13
BATCH_5748,2024-04-20,239.49113939187936,46.17,psi,MCH_05,-29,OP_004,98.0,30.7,42
BATCH_7611,2024-05-17,159.0826196854288,5.45,bar,MCH_10,10,OPER_016,95.0,66.3,22
,2024-04-30,171.9310121349914,75.36,psi,MCH_03,24,OP_005,97.0,43.0,27
BATCH_7386,2024-06-11,200.05215228615478,93.7,psi,MACHINE08,45,OP_015,87.0,77.4,28
BATCH_2371,2024-06-04,185.72757919105223,130.25,psi,MCH_06,35,OP_004,89.0,50.2,48
BATCH_3277,2024-04-27,240.77109338648944,90.32,psi,MCH_07,3,OP_011,98.0,61.0,60
BATCH_8270,2024-03-13,238.91651077137215,9.79,bar,MCH_08,17,OP_011,97.0,67.7,39
BATCH_7488,2024-05-21,182.51353526376727,90.93,psi,MCH_03,38,OP_019,92.0,76.4,19
BATCH_2479,2024-05-18,236.5279708313274,8.59,bar,MCH_06,34,OP_013,80.0,60.0,20
BATCH_7447,2024-01-16,,1.23,bar,MCH_08,7,OPER_002,0.22,36.9,9
BATCH_3329,2024-06-05,180.35535723545246,48.66,psi,MCH_03,25,OP_020,92.0,57.2,32
BATCH_9368,2024-02-28,221.85987782790437,15.65,psi,MCH_01,32,OPER_010,83.0,59.6,70
BATCH_8976,2024-01-28,221.1970138746404,45.73,psi,MCH_05,2,OP_008,84.0,48.2,45
BATCH_3975,2024-05-21,159.14303525178397,96.47,psi,MCH_04,50,OP_001,83.0,36.5,38
BATCH_2612,2024-05-06,172.23567907532413,80.2,psi,MCH_10,10,OP_018,81.0,71.8,55
BATCH_9380,2024-03-22,173.7399850358958,96.77,psi,MCH_09,44,OP_003,82.0,71.2,6
BATCH_7131,2024-05-27,194.77771744774952,44.47,psi,MCH_05,40,OP_005,94.0,40.8,18
BATCH_6868,2024-06-13,214.13468787909636,2.2,bar,MCH_05,48,OP_011,90.0,77.0,27
BATCH_5689,2024-06-26,213.99538734735242,86.36,psi,MCH_05,40,OP_003,95.0,31.9,67
BATCH_5510,2024-03-12,239.34540094546207,57.63,psi,MCH_10,-20,OP_020,91.0,45.8,48
BATCH_3740,2024-06-01,187.16908362887384,147.3,psi,MCH_01,25,OP_009,93.0,63.3,34
BATCH_2495,2024-01-18,240.36150825434652,120.23,psi,MCH_02,31,OP_016,0.15,71.0,68
BATCH_8408,2024-02-10,155.0048380264432,46.7,psi,MCH_03,49,OP_012,0.45,36.0,30
BATCH_3031,2024-07-17,224.84877523580585,9.0,bar,MCH_04,48,OP_004,90.0,42.8,13
BATCH_9086,2024-05-20,171.5114257350562,7.51,bar,MACHINE07,2,OP_012,0.09,34.0,35
BATCH_8905,2024-01-03,238.71034442683754,4.33,bar,MCH_02,24,OP_003,93.0,78.6,18
BATCH_7278,2024-07-06,233.99017990143733,9.08,bar,MCH_03,16,OP_006,91.0,44.9,9
BATCH_3892,2024-06-02,,69.88,psi,MCH_06,47,OP_004,80.0,76.1,60
BATCH_2023,2024-06-09,244.08590344050387,9.56,bar,MCH_09,11,OP_007#,80.0,38.7,11
BATCH_1490,2024-04-22,244.31082119767177,77.0,psi,MCH_04,18,OP_011,100.0,61.0,70
BATCH_6543,2024-01-24,162.48170543458642,69.15,psi,MCH_07,38,OP_015,94.0,43.2,19
BATCH_6730,2024-04-06,240.27392717681016,83.43,psi,MCH_10,40,OP_012,89.0,51.3,62
BATCH_7447,2024-07-07,179.65964922055673,7.71,bar,MCH_04,46,OP_003,91.0,31.5,30
BATCH_2753,2024-06-05,227.44434665505293,40.06,psi,MCH_10,14,OP_013,98.0,79.3,6
BATCH_7724,2024-02-14,176.347293056387,9.18,bar,MCH_04,0,OP_009,94.0,67.9,13
BATCH_3021,2024-03-22,239.23398240116842,131.01,psi,MCH_06,7,OP_007,82.0,69.4,31
BATCH_6464,2024-07-11,197.42227159721605,111.71,psi,MCH_07,28,OP_014,88.0,38.0,17
BATCH_7712,2024-01-05,158.48746263378814,4.72,bar,MACHINE03,24,OPER_003,85.0,34.0,61
BATCH_2856,2024-07-10,203.12041788651214,74.75,psi,MCH_04,6,OP_001#,80.0,56.6,64
BATCH_1718,2024-02-14,182.76109424786503,3.0,bar,MCH_03,8,OP_011,80.0,61.7,10
BATCH_6814,2024-07-10,222.4418965957595,80.9,psi,MCH_05,22,OP_001,91.0,36.2,69
BATCH_9965,2024-04-10,246.66128270830117,98.24,psi,MCH_05,14,OP_015,82.0,74.8,46
BATCH_2769,2024-03-26,152.29381946730064,7.98,bar,MCH_06,29,OP_018,0.77,76.2,25
BATCH_8014,2024-05-02,234.6077777065907,41.64,psi,MCH_10,39,OP_015,88.0,73.3,4
BATCH_9190,2024-03-08,215.21006326127298,79.26,psi,MCH_03,11,OP_016,88.0,76.5,29
BATCH_5851,2024-06-10,220.51083891981972,147.33,psi,MCH_04,35,OP_004,0.78,36.6,65
BATCH_4983,2025-01-27,190.84146855755984,6.21,bar,MCH_03,47,OP_020,88.0,70.0,10
BATCH_7930,2024-01-07,209.4162522594421,5.01,bar,MCH_04,6,OP_003,80.0,51.3,29
BATCH_9846,2024-05-12,229.50390183218627,93.4,psi,MCH_08,22,OP_006,81.0,65.6,30
BATCH_4696,2024-04-12,187.1842341021992,84.31,psi,MCH_07,32,OP_001,100.0,74.5,38
BATCH_7243,2024-01-28,190.58053021253446,1.43,bar,MCH_03,37,OP_019,81.0,39.5,27
BATCH_7423,2024-03-08,154.3042237939352,2.39,bar,MCH_10,33,OP_019,89.0,35.3,67
BATCH_2863,2024-03-23,169.72546065088994,26.26,psi,MCH_06,11,OP_013,98.0,77.4,50
BATCH_3536,2024-03-09,236.15971119545486,91.65,psi,MCH_08,19,OP_006,99.0,35.3,62
BATCH_9501,2024-02-16,194.521220803167,56.77,psi,MCH_06,18,OP_008,0.23,57.7,70
BATCH_8034,2024-01-06,167.09268233337363,96.82,psi,MCH_10,50,OP_014,90.0,72.5,46
BATCH_3493,2024-03-27,172.83921090068094,36.55,psi,MCH_10,47,OP_004,86.0,55.7,59
BATCH_8395,2024-06-19,179.32306115643806,91.43,psi,MCH_03,27,OP_003,83.0,49.3,19
BATCH_9209,2024-04-03,150.24043313371882,21.78,psi,MCH_09,10,OP_010,93.0,65.2,39
BATCH_6748,2024-01-09,154.42695687191883,5.71,bar,MCH_04,34,OP_013,81.0,72.2,11
BATCH_4878,2024-03-30,176.91342340391313,2.37,bar,MCH_01,13,OP_001,96.0,46.9,39
BATCH_4036,2024-06-11,201.77793249460683,117.39,psi,MCH_04,21,OP_002,95.0,39.4,54
BATCH_9004,2024-04-15,,133.11,psi,MCH_10,37,OP_003,100.0,55.9,49
BATCH_7466,2024-01-14,1815.12259097756,128.47,psi,MCH_09,2,OP_009,82.0,48.2,36
BATCH_8392,2024-06-06,169.1495418160907,3.83,bar,MCH_04,20,OP_003,85.0,50.7,39
BATCH_4311,2024-04-24,212.34687044372214,141.4,psi,MCH_01,25,OP_009,86.0,45.7,23
BATCH_9948,2024-02-19,166.35314506518156,5.04,bar,MCH_05,33,OP_018,0.38,54.2,39
BATCH_9074,2024-02-17,208.00329715170597,132.86,psi,MCH_01,28,OP_016,84.0,68.2,31
BATCH_3924,2024-06-05,190.27077487309293,3.08,bar,MCH_09,11,OP_018,99.0,60.2,33
BATCH_5205,2024-01-15,201.24230969280086,9.7,bar,MCH_04,16,OP_019,81.0,38.9,48
BATCH_2593,2024-02-24,245.19227091972323,38.9,psi,MACHINE02,23,OP_020,97.0,32.2,33
BATCH_6846,2025-02-03,175.56786740601964,118.52,psi,MCH_05,-45,OP_012,81.0,61.5,50
BATCH_6214,2024-03-18,164.38096568042002,36.38,psi,MCH_04,42,OP_009,93.0,58.1,42
BATCH_4605,2024-05-05,172.00242183859618,5.73,bar,MCH_01,50,OP_008,84.0,50.4,14
BATCH_4989,2024-01-03,1945.6316352861627,74.61,psi,MCH_10,45,OP_001,83.0,74.9,37
BATCH_2483,2024-07-15,221.99617046202607,68.8,psi,MCH_07,32,OP_020,91.0,68.5,28
BATCH_2522,2024-04-20,156.21820557522898,6.43,bar,MCH_01,7,OP_003,98.0,55.8,37
BATCH_7671,2024-02-04,232.83341491850751,2.8,bar,MCH_04,2,OP_008,84.0,49.2,14
BATCH_7041,2024-07-03,234.2512742449332,125.09,psi,MCH_02,20,OP_001,96.0,58.8,25
BATCH_2118,2024-02-19,151.55120557541474,48.16,psi,MCH_09,40,OP_009,86.0,70.3,16
BATCH_7663,2024-01-23,171.74612806037982,1.86,bar,MCH_01,18,OP_020,90.0,60.2,46
BATCH_7734,2024-06-24,199.8135243498758,3.43,bar,MCH_02,26,OP_007,93.0,40.8,16
BATCH_4419,2024-05-01,157.59634188959453,101.01,psi,MCH_10,32,OP_012,100.0,47.0,19
BATCH_5391,2024-05-07,187.42152647672913,53.71,psi,MCH_09,40,OP_015,89.0,78.0,10
BATCH_5516,2024-05-30,174.9470915554745,139.87,psi,MCH_03,8,OP_013,94.0,51.1,49
BATCH_4641,2024-06-13,172.4608670038112,9.55,bar,MCH_07,43,OP_012,100.0,62.4,43
BATCH_5745,2024-01-09,211.20251355432111,8.06,bar,MCH_03,39,OP_016,84.0,71.6,53
BATCH_1535,2024-03-02,193.37630814601033,117.87,psi,MCH_10,41,OP_015,90.0,32.3,66
BATCH_1100,2024-07-07,,3.7,bar,MCH_02,35,OPER_002,96.0,66.4,50
BATCH_4545,2024-02-26,241.53150235863245,15.66,psi,MCH_09,26,OP_008,90.0,64.9,65
BATCH_8135,2024-07-05,176.842973972515,5.67,bar,MCH_03,3,OP_008,100.0,53.3,9
BATCH_3539,2024-04-29,186.2857135716949,33.9,psi,MCH_10,39,OP_005,86.0,65.1,42
BATCH_7189,2024-06-30,213.3251220257506,5.53,bar,MCH_09,15,OP_007#,0.67,62.2,63
BATCH_1783,2024-03-03,155.00507785193366,1.46,bar,MCH_03,33,OP_016,81.0,44.5,42
BATCH_2446,2024-01-29,190.7550397304947,3.05,bar,MCH_06,47,OP_009,97.0,62.6,62
BATCH_3809,2024-04-25,176.0527461247722,42.38,psi,MCH_04,23,OP_009,96.0,64.4,34
BATCH_1467,2024-06-22,186.61154603054686,139.45,psi,MCH_09,46,OP_008,99.0,52.7,27
BATCH_7961,2024-06-22,205.18322135102545,42.67,psi,MCH_08,-22,OP_002,81.0,53.3,57
BATCH_6352,2024-02-07,218.1773974558805,3.93,bar,MCH_07,14,OP_001#,91.0,62.4,52
BATCH_8198,2024-07-17,163.81755781728788,2.89,bar,MCH_02,39,OP_008,91.0,76.2,5
BATCH_6517,2024-04-18,213.3167135373179,123.88,psi,MCH_02,24,OP_015,0.82,64.3,42
BATCH_7473,2024-03-09,171.97178654534432,3.98,bar,MCH_01,4,OP_009,98.0,71.5,39
BATCH_9210,2024-06-03,2111.737409209299,42.87,psi,MCH_01,37,OP_015#,88.0,45.1,62
,2024-02-24,183.00479998671454,119.21,psi,MCH_01,29,OP_001,85.0,76.4,49
BATCH_1055,2024-02-09,167.4710419673419,149.56,psi,MCH_02,10,OP_008,98.0,61.5,50
BATCH_6999,2024-05-09,161.7749684966033,59.64,psi,MCH_10,-39,OP_018,92.0,73.8,20
BATCH_3517,2024-06-12,184.2830420535804,119.55,psi,MCH_07,30,OP_004,88.0,35.0,39
BATCH_7245,2024-03-23,,110.76,psi,MCH_02,9,OP_007,87.0,56.3,7
BATCH_9638,2024-05-30,176.15849754636503,8.91,bar,MCH_08,1,OP_020,99.0,32.9,40
BATCH_8203,2024-03-15,177.0582558684368,8.67,bar,MCH_10,21,OP_015,81.0,60.7,11
BATCH_1292,2024-02-26,201.70334425531232,40.54,psi,MCH_02,10,OP_018,0.44,35.7,42
BATCH_1128,2024-01-18,206.06698561464918,63.1,psi,MCH_07,10,OP_017,97.0,61.1,31
BATCH_1677,2024-03-05,224.3547421291419,127.63,psi,MCH_02,9,OP_017,92.0,77.1,63
BATCH_1442,2024-04-16,215.5494328488626,2.97,bar,MCH_03,43,OP_013,90.0,80.0,63
BATCH_9699,2024-04-14,216.4185316266276,9.06,bar,MCH_09,42,OP_011,83.0,68.7,26
BATCH_2422,2024-02-08,163.10302343771045,57.99,psi,MCH_08,11,OP_009,81.0,56.4,41
BATCH_7099,2024-01-13,218.59785319224238,26.58,psi,MCH_07,0,OP_019,0.89,41.2,23
BATCH_9351,2024-04-01,188.94284958889662,85.35,psi,MCH_07,41,OP_010,85.0,31.3,6
BATCH_8177,2024-02-04,192.93113651976333,8.47,bar,MCH_09,7,OPER_020,99.0,30.6,71
